bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
57,329,51,808,868,514,551,95,648,575,406,130,635,13,706,300,934,300,327,445,578,864,27,747,460,849,270,4,354,859,619,760,898
135,711,307,64,842,946,931,908,676,706,462,360,640,632,768,541,14,142,770,36,698,422,565,194,464,476,620,374,589,233,20,689,819
131,894,480,817,452,908,81,102,338,940,287,631,502,706,422,554,807,781,687,993,763,427,700,743,630,563,94,701,853,786,268,600,996
691,257,783,318,958,135,35,273,481,155,197,15,5,227,750,150,754,459,193,907,520,513,438,833,76,79,521,64,920,46,338,514,173
746,354,49,195,275,913,266,796,634,703,297,687,179,731,226,184,998,708,630,185,595,700,663,244,890,84,900,205,375,595,594,105,587
588,914,661,527,26,28,849,991,877,626,544,432,245,128,505,842,342,753,348,539,613,333,363,800,96,257,281,671,646,198,446,547,177
667,777,978,91,530,166,626,347,888,640,937,671,375,352,774,131,717,573,891,439,826,838,928,989,234,594,127,929,371,634,21,560,813
148,413,965,638,148,271,557,193,516,34,990,133,445,461,764,944,546,805,588,301,722,572,378,561,996,682,435,502,880,241,610,195,703
726,669,418,368,746,94,174,689,702,836,771,705,774,882,239,285,156,385,287,318,325,752,96,741,882,433,593,286,206,546,970,83,285
63,466,677,51,595,613,199,697,298,491,179,373,241,276,8,781,826,314,121,767,675,668,852,535,904,170,725,816,427,368,405,849,872
286,74,539,214,971,868,786,648,887,518,401,754,616,99,97,8,963,78,982,184,682,529,985,191,444,269,462,441,274,801,276,725,680
984,615,219,869,392,676,163,790,633,715,259,987,518,958,184,226,809,670,231,85,487,140,612,538,601,160,877,360,746,742,541,382,212
186,333,50,32,181,995,469,706,33,901,591,163,609,774,979,446,516,690,287,388,795,164,953,750,495,695,152,281,897,526,858,496,966
779,438,226,597,774,95,279,138,673,906,721,779,22,551,275,799,259,516,869,265,883,590,830,223,947,39,478,851,729,527,827,406,372
926,706,539,553,355,659,151,861,630,354,118,325,277,233,103,106,875,313,891,345,304,449,503,35,227,496,427,991,609,759,145,841,965
695,223,116,202,743,556,462,825,553,634,386,635,29,205,655,480,573,594,982,808,229,359,610,873,646,961,918,33,52,84,900,506,13
559,679,673,905,256,750,836,21,718,203,929,194,753,500,330,428,977,71,90,852,756,140,838,150,427,671,926,408,659,736,112,359,375
188,373,626,707,624,267,760,857,787,931,332,417,75,414,332,248,861,225,380,207,76,628,249,111,592,254,533,64,47,305,38,255,878
846,883,112,630,445,181,701,900,386,16,580,107,972,229,326,855,720,45,249,437,85,130,161,461,347,896,621,750,692,738,217,591,518
483,729,573,82,128,851,979,552,584,140,490,179,926,158,518,19,112,810,233,798,11,696,61,679,224,46,926,400,160,408,380,193,897
84,955,469,809,141,220,10,79,556,501,317,824,492,557,294,73,519,19,371,430,80,861,97,382,487,230,109,792,308,618,779,475,231
251,635,495,852,743,424,317,38,85,598,113,618,246,798,684,133,243,834,533,562,503,933,504,627,623,893,434,597,612,743,480,653,397
524,9,479,913,708,906,976,190,674,461,375,851,694,916,284,232,678,529,761,396,850,226,628,475,821,833,8,123,774,568,60,828,961
754,139,10,704,300,240,558,158,306,837,817,963,181,906,156,816,405,286,1000,893,95,831,604,536,492,308,306,460,384,543,106,649,865
977,182,973,606,233,505,462,36,392,206,544,482,311,946,331,541,291,59,997,661,157,996,523,794,187,630,271,375,981,200,906,797,228
