bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
74,974,150,985,123,330,655,872,964,668,921,467,271,500,648,619,492,5,538,413,83,214,159,32,512,581,429,659,522,100,711,990,641
183,168,212,588,731,261,385,264,88,65,831,331,681,327,712,632,877,660,834,196,45,382,174,929,334,567,85,574,183,439,538,603,968
666,8,159,215,166,149,302,563,699,339,217,794,121,179,201,614,436,695,552,174,720,724,549,625,533,311,853,943,775,613,975,574,729
323,225,29,71,985,546,309,855,394,704,464,960,706,494,134,569,472,855,369,42,741,300,431,923,675,805,664,982,731,110,290,328,215
699,430,916,753,113,947,567,431,780,389,273,905,145,0,69,478,350,158,208,69,44,91,96,863,249,296,217,145,279,476,678,957,218
350,955,84,503,952,152,984,439,116,970,606,468,879,233,30,272,577,394,553,681,886,972,117,960,868,644,808,422,786,888,334,949,667
96,171,593,741,383,819,714,779,516,869,319,316,681,611,222,689,254,612,670,977,618,510,116,310,356,428,936,135,346,275,578,597,421
851,11,820,898,812,567,800,524,160,917,540,737,25,607,613,582,966,376,692,53,738,807,816,804,510,516,77,977,182,248,280,896,319
93,226,226,222,615,562,530,562,204,428,739,68,914,145,423,834,555,432,614,611,927,451,346,438,258,872,202,407,855,421,238,308,194
353,975,182,377,219,688,269,194,497,545,776,195,577,730,424,696,592,938,754,149,183,273,402,720,16,791,268,964,875,962,162,924,378
76,678,972,288,334,132,911,877,266,232,446,578,198,260,354,335,327,366,459,67,306,919,83,691,464,366,295,684,78,974,816,547,341
987,116,926,147,792,824,88,307,122,475,769,470,256,992,996,377,888,332,848,958,74,435,903,52,443,675,613,567,712,621,151,391,23
326,956,491,231,0,601,240,468,147,461,59,426,560,38,655,926,140,2,483,445,912,121,214,822,309,517,785,269,531,547,321,991,408
527,818,291,731,575,93,7,238,95,462,525,672,321,174,105,436,496,697,930,335,393,523,367,307,276,109,49,601,620,183,974,112,97
851,816,925,493,327,513,126,72,20,420,214,60,970,528,407,740,144,866,967,8,769,914,131,179,482,847,172,980,704,855,555,190,176
599,298,133,88,447,980,916,124,991,821,364,100,759,778,143,72,133,15,727,522,685,947,422,91,852,382,627,571,551,71,733,416,937
859,517,643,724,977,595,178,467,240,760,752,401,621,38,347,397,439,257,144,651,525,145,707,743,720,599,106,96,705,88,990,417,550
353,508,587,663,401,474,139,980,525,879,547,946,202,222,708,136,964,157,633,659,851,990,774,916,288,607,944,483,326,139,507,962,365
892,528,110,286,577,129,48,873,760,356,797,973,526,395,596,290,263,535,831,579,480,994,427,673,691,323,46,611,996,998,596,141,908
13,410,464,802,167,570,220,826,230,654,900,321,763,439,734,124,872,957,947,804,302,334,771,343,6,783,73,594,192,225,359,329,769
523,929,261,936,440,976,850,6,639,823,591,263,376,57,420,883,84,519,16,155,517,238,297,899,128,218,819,11,770,106,16,313,401
839,952,896,513,455,205,459,517,942,161,878,283,719,356,817,459,905,178,647,240,580,889,254,399,386,523,907,589,928,156,913,246,697
490,414,655,251,533,40,383,611,703,803,560,999,912,922,86,920,692,600,353,191,117,68,222,707,248,607,155,495,346,816,89,986,396
809,775,980,806,170,625,322,283,179,377,992,640,34,166,475,293,782,655,949,679,240,867,233,935,556,470,602,469,180,281,952,606,827
844,52,890,226,768,302,453,538,194,554,445,48,416,310,566,257,210,437,267,259,796,891,434,40,424,637,382,189,647,755,647,309,206
263,858,780,700,440,723,400,841,556,290,459,121,227,319,28,776,717,982,86,307,839,856,507,440,413,253,869,443,575,242,516,504,651
122,298,197,247,713,432,138,36,952,561,49,385,248,948,780,249,267,60,155,890,1000,48,868,853,578,770,480,834,46,561,553,148,669
176,233,389,48,354,605,683,631,466,733,40,540,57,459,899,886,637,603,916,921,41,779,480,476,407,283,801,253,461,592,79,407,985
163,292,400,589,533,907,588,929,840,56,479,666,903,877,946,403,319,924,780,799,540,781,0,939,913,242,711,112,866,322,534,972,552
757,402,309,305,630,536,803,581,195,498,789,146,261,983,598,655,860,103,404,590,652,848,619,244,496,609,244,793,314,452,839,168,366
802,765,525,680,49,851,728,395,508,981,127,522,289,79,239,481,825,592,273,783,788,447,807,967,786,630,158,671,280,706,981,641,427
327,624,252,664,338,825,584,331,974,20,186,384,240,843,876,990,37,652,591,410,814,166,460,19,187,546,144,617,631,934,919,383,723
906,68,460,377,684,138,612,156,130,569,60,214,308,979,81,896,137,691,314,660,11,909,424,491,159,675,664,372,523,410,139,864,485
948,916,144,301,366,476,482,661,940,127,361,370,169,312,686,278,578,471,528,968,249,88,354,828,346,364,614,180,535,964,324,582,651
244,866,39,989,0,452,945,794,138,100,949,449,515,494,155,608,442,28,504,313,226,637,471,470,766,924,606,354,398,831,716,725,338
761,761,850,374,668,70,644,660,66,106,229,496,160,1000,44,513,483,826,905,319,920,691,835,68,605,460,949,354,363,586,517,790,251
254,598,287,199,27,544,509,923,716,112,27,925,772,533,45,286,595,312,33,396,94,141,681,641,324,715,388,674,683,160,396,156,388
994,525,706,196,9,12,294,76,865,41,472,885,983,359,987,127,52,806,465,940,280,849,504,599,402,144,718,980,841,884,797,821,719
106,20,370,400,746,237,493,549,116,699,679,174,507,951,743,366,502,773,686,86,833,852,269,213,759,938,932,814,835,818,736,329,866
240,74,270,939,29,47,928,502,334,804,798,752,533,710,307,358,882,10,325,511,333,668,167,364,391,60,979,329,794,213,535,464,891
836,266,395,87,671,818,85,725,522,465,806,918,193,573,182,218,720,846,692,961,510,737,856,305,6,965,850,240,814,841,286,465,646
288,508,513,767,697,983,73,292,303,253,691,565,643,301,963,167,812,460,693,58,41,844,492,847,743,37,238,187,379,18,458,379,967
115,809,874,793,16,376,411,236,789,372,965,631,175,575,491,112,601,449,272,862,363,801,329,304,928,14,895,702,341,943,666,129,962
737,169,292,128,909,879,847,736,482,796,608,232,567,900,299,543,279,935,378,491,138,885,330,21,976,651,583,325,545,401,880,442,598
288,529,337,0,668,631,659,324,809,679,689,404,733,748,645,880,855,900,777,977,839,345,277,207,375,10,507,907,21,440,340,906,10
960,414,770,148,396,322,293,537,650,714,138,839,134,164,262,643,211,213,629,750,849,435,358,465,737,441,480,925,539,965,494,235,248
34,836,896,509,466,243,4,703,929,349,234,826,709,568,745,382,192,143,946,161,748,429,755,657,505,743,850,326,775,744,986,830,374
799,936,951,683,383,171,409,936,463,859,973,69,340,170,314,691,251,859,334,510,798,195,935,233,911,493,560,470,266,662,146,793,662
664,824,609,678,784,231,854,402,215,391,528,285,899,54,963,523,458,701,43,768,783,843,199,640,359,439,868,956,231,338,462,841,377
545,363,142,84,359,996,33,81,223,923,65,200,872,591,947,558,972,629,866,243,509,992,353,880,373,737,829,698,207,143,207,470,467
108,206,779,925,921,853,171,208,670,240,55,762,382,138,239,381,824,528,177,63,986,39,552,993,234,253,391,294,986,749,747,134,41
349,254,145,647,882,640,564,151,815,647,685,405,317,920,388,548,286,692,636,240,30,930,310,881,145,837,465,450,572,969,208,291,465
815,452,827,298,791,764,492,794,296,760,882,504,639,66,379,315,518,828,110,560,493,962,327,134,466,334,971,0,635,345,303,64,533
580,912,764,760,771,814,657,177,408,538,646,131,930,27,625,370,263,633,696,748,440,133,391,520,622,251,433,61,180,606,456,358,702
992,496,627,476,608,350,517,613,323,830,480,762,846,220,706,15,79,854,558,949,146,795,596,623,850,575,967,353,935,203,928,750,810
244,675,892,505,745,367,938,640,491,971,286,294,469,765,203,118,661,151,113,19,211,435,831,208,9,307,831,611,854,604,358,911,425
734,583,792,500,868,162,300,635,660,446,374,931,790,349,613,707,770,150,473,171,202,493,997,80,486,730,463,164,943,833,648,807,311
292,487,361,355,852,584,587,325,227,799,122,447,787,822,906,745,371,606,582,509,90,455,184,608,529,589,598,832,325,762,782,629,970
30,708,94,221,119,444,671,308,926,177,191,583,787,615,585,934,481,478,824,764,1,201,646,420,355,945,706,705,824,782,146,796,901
501,945,22,15,311,142,437,466,124,58,648,998,62,103,689,364,196,54,421,221,685,910,206,707,824,314,790,301,99,113,215,545,140
129,987,977,239,593,807,239,659,605,547,97,961,243,964,230,955,160,3,222,750,955,307,53,531,628,610,44,230,919,893,624,456,18
613,677,176,594,824,333,615,722,61,307,565,241,836,237,977,865,180,757,275,795,818,885,475,621,397,383,570,751,802,818,884,488,572
843,979,574,967,147,546,173,450,704,957,847,411,898,994,132,102,249,635,97,219,72,260,162,756,422,934,939,105,329,117,511,675,64
317,637,954,325,226,268,322,966,853,679,669,864,984,4,374,448,449,232,154,845,221,164,892,142,586,512,304,393,801,801,400,791,621
308,802,606,783,861,660,534,941,509,793,10,610,797,457,252,154,574,500,301,945,453,30,677,627,666,208,779,870,309,698,262,381,348
918,471,72,823,623,180,933,884,659,397,883,452,343,629,148,897,685,885,315,403,601,519,442,591,218,120,376,858,230,348,966,376,677
866,411,971,619,819,226,363,235,341,543,787,196,697,939,991,750,531,471,831,17,331,936,506,791,155,239,176,659,933,12,869,479,242
509,297,470,761,901,892,636,462,548,599,561,421,970,418,807,293,789,619,919,377,360,132,580,66,187,916,211,970,339,775,285,949,723
225,588,461,244,902,9,206,689,115,845,310,830,666,816,572,408,680,938,989,790,361,85,795,965,428,433,305,791,705,889,988,894,147
240,338,607,642,454,523,492,109,606,868,532,526,286,14,324,231,352,420,811,758,883,443,241,46,374,767,344,119,349,263,271,359,26
398,342,610,168,441,130,841,342,948,101,378,906,504,921,99,177,334,369,360,313,659,97,214,897,175,372,743,142,972,53,706,860,974
743,210,288,877,974,138,448,992,776,35,781,230,692,719,576,466,781,388,191,168,512,720,92,408,960,817,694,249,893,46,574,264,262
413,827,512,384,939,702,669,718,716,319,761,925,302,116,156,486,90,217,714,106,59,956,860,661,379,329,778,815,168,556,294,901,466
292,74,147,80,35,242,872,573,283,959,713,378,539,840,364,475,88,41,91,271,512,253,92,183,287,850,800,682,467,648,259,680,21
973,371,259,314,563,157,655,408,640,841,40,952,865,530,383,6,281,833,530,745,499,371,287,663,523,180,583,440,871,879,374,165,551
111,636,215,339,986,276,416,166,674,683,936,491,168,571,721,164,798,227,399,844,310,213,128,785,232,591,638,423,590,432,896,782,223
735,567,280,609,133,959,458,861,802,328,623,387,898,652,354,24,39,115,47,610,105,617,463,860,324,947,310,552,551,265,197,421,600
422,701,224,764,511,291,502,170,247,777,418,820,468,679,805,48,167,702,487,269,563,777,213,492,220,765,937,264,863,443,973,84,721
171,262,214,317,246,639,536,885,303,37,541,508,609,600,846,92,616,979,450,364,87,49,374,336,193,672,604,371,729,183,677,107,534
78,907,957,807,152,569,349,767,214,220,869,767,562,615,900,280,771,99,993,307,669,182,726,48,807,171,539,468,688,868,862,995,392
311,323,512,154,424,509,455,999,960,353,945,325,71,684,661,904,29,575,202,973,416,314,574,581,158,124,856,55,547,719,188,616,632
877,17,805,699,907,391,114,683,323,898,654,654,825,847,547,115,596,671,563,40,388,204,484,735,943,53,587,527,733,78,829,316,747
244,76,296,112,343,12,966,240,193,908,435,930,277,593,59,861,470,45,252,51,403,492,499,49,753,189,111,994,120,22,90,112,430
729,71,861,714,515,585,929,186,161,788,602,104,396,563,390,2,851,420,173,650,144,321,274,909,185,10,142,872,383,868,991,74,749
75,586,674,696,493,556,384,395,509,106,488,124,232,534,925,263,467,368,555,756,952,453,623,490,814,11,384,987,58,409,16,96,754
212,809,812,267,153,274,226,608,827,303,840,516,221,694,445,221,467,509,781,809,825,607,924,269,714,606,190,798,477,707,458,581,843
471,265,395,57,585,549,664,191,90,118,400,319,337,35,888,280,346,694,969,991,919,926,5,829,924,523,749,519,820,711,905,191,212
789,926,839,544,458,759,879,919,362,594,301,36,302,513,995,485,732,19,669,897,1,80,270,353,826,46,545,561,439,413,940,922,789
814,909,332,218,396,162,596,618,307,580,916,141,529,341,695,365,821,487,150,243,334,100,994,299,185,459,948,861,821,247,931,918,884
444,913,259,784,615,148,652,358,454,530,636,66,582,296,365,624,428,968,383,319,883,295,79,509,303,480,665,883,563,823,647,600,220
303,878,383,647,378,553,397,602,436,93,899,725,103,659,573,566,271,70,811,756,711,459,872,69,626,469,322,514,114,216,292,175,741
559,51,671,380,105,985,295,705,988,719,114,619,804,375,379,735,579,817,384,510,988,899,594,899,444,744,524,972,642,578,145,365,115
937,443,507,26,821,255,739,820,202,321,791,400,696,366,343,178,434,381,395,934,177,833,865,642,673,825,726,839,311,221,525,27,976
725,690,206,394,42,563,461,761,532,429,747,944,883,368,206,664,27,264,266,79,591,548,90,45,77,764,730,584,296,289,845,640,896
341,525,430,293,530,913,262,749,303,301,195,857,906,640,784,639,877,156,839,689,118,386,290,848,86,477,657,566,737,250,28,583,370
509,876,991,209,934,902,998,306,202,238,962,116,482,586,966,565,659,610,627,473,308,353,429,178,134,588,83,91,567,859,817,832,519
749,531,54,724,990,185,356,959,89,93,182,782,837,788,370,196,329,428,970,199,334,642,582,399,296,301,267,878,594,327,564,880,430
994,74,436,230,987,114,315,291,86,219,240,876,358,91,789,627,402,310,508,238,617,971,314,649,293,553,381,928,900,322,158,30,885
699,984,631,978,613,751,218,887,974,618,50,57,424,89,287,851,183,496,355,249,611,85,822,482,571,862,778,221,846,602,252,150,446
473,368,96,855,324,590,21,300,928,940,298,841,40,650,769,199,255,384,707,447,470,285,7,294,676,892,455,624,250,213,282,319,747
515,190,52,115,855,195,33,332,921,980,349,506,247,899,763,830,711,874,378,444,204,857,480,848,12,164,838,364,20,693,695,533,536
603,454,293,622,345,520,801,164,515,603,148,691,761,925,692,770,929,27,734,161,324,370,487,698,243,11,991,30,25,82,679,66,793
305,65,96,506,56,712,609,713,635,171,129,902,288,182,143,950,65,681,529,723,221,675,997,89,948,774,431,742,961,344,439,653,136
283,416,675,706,537,642,837,143,47,14,745,659,870,792,277,551,270,748,152,241,346,690,540,773,825,117,716,585,387,863,624,200,929
809,928,124,869,53,364,4,833,618,470,313,652,38,196,678,38,961,978,146,156,817,525,365,203,931,554,262,608,532,577,334,146,626
440,582,70,118,801,796,947,145,710,308,229,774,918,569,666,223,999,10,258,758,109,380,305,160,892,290,894,482,732,703,166,688,90
706,742,421,190,840,954,962,850,770,487,475,760,757,183,39,62,881,329,181,116,386,297,963,113,442,911,997,269,988,948,135,496,638
369,211,331,314,635,63,529,551,134,342,441,833,258,21,996,436,775,19,35,220,359,611,680,405,435,385,227,479,520,94,447,828,21
265,527,890,776,712,310,724,400,827,111,863,326,598,63,693,466,321,304,211,30,215,389,34,471,131,715,526,42,239,775,672,84,557
988,266,466,952,120,925,620,84,780,417,207,783,106,398,611,522,597,539,512,217,481,645,903,444,388,561,525,171,707,688,461,176,48
84,78,788,789,33,999,20,672,999,516,529,34,194,748,116,649,419,804,844,937,66,410,725,371,300,151,334,445,517,644,618,550,288
719,103,119,492,453,976,621,411,821,119,548,24,223,54,824,859,589,422,36,833,272,719,881,501,123,14,26,833,527,502,710,247,290
276,309,209,74,710,42,839,606,372,489,299,661,735,223,819,35,290,236,273,169,22,426,739,527,357,336,393,197,880,286,204,49,211
230,948,633,333,569,269,371,724,841,3,797,882,6,419,700,245,195,172,771,941,822,860,42,989,807,514,227,440,389,347,238,854,334
124,254,421,246,889,770,546,901,929,934,369,531,370,47,560,156,304,635,452,268,916,885,122,400,478,414,921,600,14,817,1000,251,376
885,198,300,55,752,892,591,403,460,319,109,835,927,849,72,953,199,919,695,225,674,440,967,136,184,456,273,966,32,58,419,263,583
771,664,428,115,739,80,143,733,642,614,283,822,507,891,369,66,27,47,795,809,266,203,875,597,475,743,117,469,901,164,69,427,679
202,157,275,706,237,450,896,761,514,235,344,826,287,405,510,769,835,389,639,912,60,125,469,963,745,729,265,749,484,966,403,155,472
871,197,193,98,120,332,414,543,330,166,727,195,45,619,250,870,115,991,831,406,768,480,29,228,868,753,471,840,512,105,620,229,246
438,187,615,1000,857,171,948,996,334,788,211,965,419,520,380,972,888,110,799,215,765,43,622,800,534,923,172,695,816,563,980,51,950
195,116,199,372,251,991,123,248,630,733,195,859,271,170,394,936,38,1,239,173,355,521,656,912,791,862,919,205,410,211,328,268,701
746,85,838,506,206,653,814,237,726,39,572,309,466,666,888,320,414,756,373,308,558,673,161,535,806,773,120,356,750,505,21,386,388
609,915,331,882,347,914,293,430,65,868,650,97,169,849,849,286,802,218,825,414,17,931,752,742,857,859,132,494,10,841,475,815,569
